pdb_id,chain_id_1,chain_id_2,cluster_key_chain_1,cluster_key_chain_2,interface_cluster_key
7st8,A,C,17640,41188,17640|41188
7st8,B,C,5964,41188,41188|5964
7t6x,E,H,5964,24273,24273|5964
7t82,A,C,9703,5964,5964|9703
7t82,A,D,9703,17640,17640|9703
7t9m,A,C,17640,13210,13210|17640
7t9m,B,C,5964,13210,13210|5964
7t9n,A,D,5964,13210,13210|5964
7t9n,B,D,17640,13210,13210|17640
7tuf,A,B,22549,17640,17640|22549
7tuf,A,C,22549,5964,22549|5964
7tuf,A,E,22549,17640,17640|22549
7tuf,B,D,17640,22549,17640|22549
7tuf,D,E,22549,17640,17640|22549
7tuf,D,F,22549,5964,22549|5964
7tug,A,B,22549,17640,17640|22549
7tug,A,C,22549,5964,22549|5964
7u8c,A,B,20081,17640,17640|20081
7u8c,A,C,20081,5964,20081|5964
7u8g,A,C,29632,17640,17640|29632
7u8g,A,D,29632,5964,29632|5964
7uih,A,B,11223,5964,11223|5964
7uih,A,C,11223,17640,11223|17640
7uih,A,D,11223,5964,11223|5964
7uih,A,E,11223,17640,11223|17640
7um3,A,E,17640,33649,17640|33649
7um3,B,E,5964,33649,33649|5964
7ura,A,B,44530,5964,44530|5964
7ura,A,C,44530,17640,17640|44530
7urc,A,B,44530,5964,44530|5964
7urc,A,C,44530,17640,17640|44530
7urd,A,C,44530,5964,44530|5964
7urd,A,D,44530,17640,17640|44530
7ure,A,B,44530,5964,44530|5964
7ure,A,C,44530,17640,17640|44530
7uvf,A,C,23558,17640,17640|23558
7uvf,A,D,23558,5964,23558|5964
7uvf,B,E,23558,5964,23558|5964
7uvf,B,F,23558,17640,17640|23558
7vad,A,B,5581,17640,17640|5581
7vad,A,C,5581,5964,5581|5964
7vae,A,B,5581,17640,17640|5581
7vae,A,C,5581,5964,5581|5964
7vaf,A,C,17640,5581,17640|5581
7vaf,B,C,5964,5581,5581|5964
7vag,A,B,5581,17640,17640|5581
7vag,A,C,5581,5964,5581|5964
7vgr,A,E,5964,33673,33673|5964
7vgr,A,F,5964,33673,33673|5964
7vgr,B,E,17640,33673,17640|33673
7vgr,B,F,17640,33673,17640|33673
7vgr,C,E,5964,33673,33673|5964
7vgr,C,F,5964,33673,33673|5964
7vgr,D,E,17640,33673,17640|33673
7vgr,D,F,17640,33673,17640|33673
7vgs,A,B,33673,5964,33673|5964
7vgs,A,C,33673,17640,17640|33673
7vgs,A,E,33673,5964,33673|5964
7vgs,B,D,5964,33673,33673|5964
7vgs,D,E,33673,5964,33673|5964
7vgs,D,F,33673,17640,17640|33673
7vn9,A,C,17640,20046,17640|20046
7vn9,B,C,5964,20046,20046|5964
7vng,A,B,20046,17640,17640|20046
7vng,A,C,20046,5964,20046|5964
7w71,A,E,24335,17640,17640|24335
7w71,A,F,24335,5964,24335|5964
7wsi,A,B,5581,17640,17640|5581
7wsi,A,C,5581,5964,5581|5964
7xq8,A,B,26372,5964,26372|5964
7xq8,C,D,26372,5964,26372|5964
7zlg,A,D,17640,29547,17640|29547
7zlg,C,D,5964,29547,29547|5964
7zlh,A,D,17640,29547,17640|29547
7zlh,C,D,5964,29547,29547|5964
7zli,A,D,17640,29547,17640|29547
7zli,C,D,5964,29547,29547|5964
7zlj,A,D,17640,29547,17640|29547
7zlj,C,D,5964,29547,29547|5964
7zwi,A,C,7003,5964,5964|7003
7zxf,A,C,7003,5964,5964|7003
7zxf,A,E,7003,5964,5964|7003
7zxg,A,C,7003,5964,5964|7003
7zxk,A,F,26707,5964,26707|5964
7zxk,A,G,26707,17640,17640|26707
7zyi,A,B,5581,17640,17640|5581
7zyi,A,C,5581,5964,5581|5964
8cz5,A,B,24059,17640,17640|24059
8cz5,A,C,24059,5964,24059|5964
8dcy,A,C,17640,23342,17640|23342
8dcy,B,C,5964,23342,23342|5964
8ddk,A,C,17640,23342,17640|23342
8ddk,B,C,5964,23342,23342|5964
8djk,A,E,15456,17640,15456|17640
8djk,B,D,15455,5964,15455|5964
8djk,B,E,15455,17640,15455|17640
8djm,A,E,15456,17640,15456|17640
8djm,B,D,15455,5964,15455|5964
8djm,B,E,15455,17640,15455|17640
8dke,A,B,13979,17640,13979|17640
8dke,A,C,13979,5964,13979|5964
8dki,A,B,13979,17640,13979|17640
8dki,A,C,13979,5964,13979|5964
8dkm,A,C,17640,13979,13979|17640
8dkm,B,C,5964,13979,13979|5964
8dkw,A,C,17640,13979,13979|17640
8dkw,B,C,5964,13979,13979|5964
8dkx,A,C,17640,13979,13979|17640
8dkx,B,C,5964,13979,13979|5964
8hii,A,B,21158,17640,17640|21158
8hii,A,D,21158,5964,21158|5964
8hij,A,B,21158,17640,17640|21158
8hij,A,D,21158,5964,21158|5964
8hik,A,B,21158,17640,17640|21158
8hik,A,D,21158,5964,21158|5964
7so7,A,F,3006,5964,3006|5964
7xy8,A,C,2517,17640,17640|2517
7xy8,A,E,2517,5964,2517|5964
